region,trial,m,m_from_filename,uncovered_area,overlap_percentage,ocr_success,filename,filepath
0,9,54,54,5.581898,12.58,True,m_54_trial_9.png,Results/region_0/trial_9/m_54_trial_9.png
0,9,55,55,4.302981,12.97,True,m_55_trial_9.png,Results/region_0/trial_9/m_55_trial_9.png
1,0,22,22,36.422998,5.04,True,m_22_trial_0.png,Results/region_1/trial_0/m_22_trial_0.png
1,0,23,23,28.670995,5.32,True,m_23_trial_0.png,Results/region_1/trial_0/m_23_trial_0.png
1,0,24,24,23.051712,5.79,True,m_24_trial_0.png,Results/region_1/trial_0/m_24_trial_0.png
1,0,25,25,18.758069,6.95,True,m_25_trial_0.png,Results/region_1/trial_0/m_25_trial_0.png
1,0,26,26,14.471266,7.0,True,m_26_trial_0.png,Results/region_1/trial_0/m_26_trial_0.png
1,0,27,27,11.875774,6.8,True,m_27_trial_0.png,Results/region_1/trial_0/m_27_trial_0.png
1,0,28,28,9.683996,7.23,True,m_28_trial_0.png,Results/region_1/trial_0/m_28_trial_0.png
1,0,29,29,8.287134,9.01,True,m_29_trial_0.png,Results/region_1/trial_0/m_29_trial_0.png
1,0,30,30,5.7868,10.76,True,m_30_trial_0.png,Results/region_1/trial_0/m_30_trial_0.png
1,0,31,31,4.073247,11.28,True,m_31_trial_0.png,Results/region_1/trial_0/m_31_trial_0.png
1,0,32,32,2.594306,11.92,True,m_32_trial_0.png,Results/region_1/trial_0/m_32_trial_0.png
1,1,22,22,36.413111,5.0,True,m_22_trial_1.png,Results/region_1/trial_1/m_22_trial_1.png
1,1,23,23,28.714932,5.49,True,m_23_trial_1.png,Results/region_1/trial_1/m_23_trial_1.png
1,1,24,24,22.948385,5.84,True,m_24_trial_1.png,Results/region_1/trial_1/m_24_trial_1.png
1,1,25,25,18.891134,6.71,True,m_25_trial_1.png,Results/region_1/trial_1/m_25_trial_1.png
1,1,26,26,14.40717,6.84,True,m_26_trial_1.png,Results/region_1/trial_1/m_26_trial_1.png
1,1,27,27,11.854979,6.65,True,m_27_trial_1.png,Results/region_1/trial_1/m_27_trial_1.png
1,1,28,28,9.672845,7.05,True,m_28_trial_1.png,Results/region_1/trial_1/m_28_trial_1.png
1,1,29,29,7.054638,8.95,True,m_29_trial_1.png,Results/region_1/trial_1/m_29_trial_1.png
1,1,30,30,5.372298,9.55,True,m_30_trial_1.png,Results/region_1/trial_1/m_30_trial_1.png
1,1,31,31,3.597576,10.53,True,m_31_trial_1.png,Results/region_1/trial_1/m_31_trial_1.png
1,1,32,32,2.316887,11.22,True,m_32_trial_1.png,Results/region_1/trial_1/m_32_trial_1.png
1,2,22,22,36.425934,4.98,True,m_22_trial_2.png,Results/region_1/trial_2/m_22_trial_2.png
1,2,23,23,28.71511,5.38,True,m_23_trial_2.png,Results/region_1/trial_2/m_23_trial_2.png
1,2,24,24,22.960749,5.75,True,m_24_trial_2.png,Results/region_1/trial_2/m_24_trial_2.png
1,2,25,25,18.016166,6.35,True,m_25_trial_2.png,Results/region_1/trial_2/m_25_trial_2.png
1,2,26,26,15.48434,6.27,True,m_26_trial_2.png,Results/region_1/trial_2/m_26_trial_2.png
1,2,27,27,11.855218,6.7,True,m_27_trial_2.png,Results/region_1/trial_2/m_27_trial_2.png
1,2,28,28,9.666278,7.15,True,m_28_trial_2.png,Results/region_1/trial_2/m_28_trial_2.png
1,2,29,29,8.515783,7.99,True,m_29_trial_2.png,Results/region_1/trial_2/m_29_trial_2.png
1,2,30,30,5.211059,10.06,True,m_30_trial_2.png,Results/region_1/trial_2/m_30_trial_2.png
1,2,31,31,3.629165,10.69,True,m_31_trial_2.png,Results/region_1/trial_2/m_31_trial_2.png
1,2,32,32,2.844112,11.7,True,m_32_trial_2.png,Results/region_1/trial_2/m_32_trial_2.png
1,2,33,33,1.989124,12.95,True,m_33_trial_2.png,Results/region_1/trial_2/m_33_trial_2.png
1,3,22,22,36.422125,4.78,True,m_22_trial_3.png,Results/region_1/trial_3/m_22_trial_3.png
1,3,23,23,28.688212,5.31,True,m_23_trial_3.png,Results/region_1/trial_3/m_23_trial_3.png
1,3,24,24,22.941389,5.78,True,m_24_trial_3.png,Results/region_1/trial_3/m_24_trial_3.png
1,3,25,25,18.027959,6.29,True,m_25_trial_3.png,Results/region_1/trial_3/m_25_trial_3.png
1,3,26,26,14.389806,6.81,True,m_26_trial_3.png,Results/region_1/trial_3/m_26_trial_3.png
1,3,27,27,11.842582,6.7,True,m_27_trial_3.png,Results/region_1/trial_3/m_27_trial_3.png
1,3,28,28,9.672204,7.11,True,m_28_trial_3.png,Results/region_1/trial_3/m_28_trial_3.png
1,3,29,29,7.714438,8.48,True,m_29_trial_3.png,Results/region_1/trial_3/m_29_trial_3.png
1,3,30,30,5.03617,9.56,True,m_30_trial_3.png,Results/region_1/trial_3/m_30_trial_3.png
1,3,31,31,3.547053,10.31,True,m_31_trial_3.png,Results/region_1/trial_3/m_31_trial_3.png
1,3,32,32,2.430676,11.42,True,m_32_trial_3.png,Results/region_1/trial_3/m_32_trial_3.png
1,4,22,22,36.42441,4.98,True,m_22_trial_4.png,Results/region_1/trial_4/m_22_trial_4.png
1,4,23,23,28.671008,5.29,True,m_23_trial_4.png,Results/region_1/trial_4/m_23_trial_4.png
1,4,24,24,22.976346,5.77,True,m_24_trial_4.png,Results/region_1/trial_4/m_24_trial_4.png
1,4,25,25,18.024429,6.28,True,m_25_trial_4.png,Results/region_1/trial_4/m_25_trial_4.png
1,4,26,26,14.394052,6.81,True,m_26_trial_4.png,Results/region_1/trial_4/m_26_trial_4.png
1,4,27,27,11.858983,6.73,True,m_27_trial_4.png,Results/region_1/trial_4/m_27_trial_4.png
1,4,28,28,9.667431,7.11,True,m_28_trial_4.png,Results/region_1/trial_4/m_28_trial_4.png
1,4,29,29,8.522048,8.11,True,m_29_trial_4.png,Results/region_1/trial_4/m_29_trial_4.png
1,4,30,30,5.838299,10.39,True,m_30_trial_4.png,Results/region_1/trial_4/m_30_trial_4.png
1,4,31,31,4.075137,11.35,True,m_31_trial_4.png,Results/region_1/trial_4/m_31_trial_4.png
1,4,32,32,2.786652,13.05,True,m_32_trial_4.png,Results/region_1/trial_4/m_32_trial_4.png
1,4,33,33,2.027483,13.59,True,m_33_trial_4.png,Results/region_1/trial_4/m_33_trial_4.png
1,5,22,22,36.425934,4.98,True,m_22_trial_5.png,Results/region_1/trial_5/m_22_trial_5.png
1,5,23,23,28.683923,5.34,True,m_23_trial_5.png,Results/region_1/trial_5/m_23_trial_5.png
1,5,24,24,23.423608,5.96,True,m_24_trial_5.png,Results/region_1/trial_5/m_24_trial_5.png
1,5,25,25,18.021333,6.25,True,m_25_trial_5.png,Results/region_1/trial_5/m_25_trial_5.png
1,5,26,26,14.391996,6.87,True,m_26_trial_5.png,Results/region_1/trial_5/m_26_trial_5.png
1,5,27,27,11.873118,7.0,True,m_27_trial_5.png,Results/region_1/trial_5/m_27_trial_5.png
1,5,28,28,10.205972,8.01,True,m_28_trial_5.png,Results/region_1/trial_5/m_28_trial_5.png
