REGION 0 - SUCCESSFUL EXTRACTIONS (140 images):
Trial | M  | Uncovered Area | Overlap % | Filename
    3 | 88 |     16.226367 |    12.17% | m_88_trial_3.png
    3 | 89 |     14.008636 |    12.39% | m_89_trial_3.png
    3 | 90 |     11.516294 |    13.24% | m_90_trial_3.png
    3 | 91 |      9.983281 |    13.51% | m_91_trial_3.png
    3 | 92 |      8.364958 |    14.29% | m_92_trial_3.png
    4 | 74 |     72.262478 |     5.02% | m_74_trial_4.png
    4 | 75 |     66.251048 |     5.41% | m_75_trial_4.png
    4 | 76 |     58.946944 |     5.72% | m_76_trial_4.png
    4 | 77 |     52.300762 |     6.04% | m_77_trial_4.png
    4 | 78 |     47.153243 |     6.56% | m_78_trial_4.png
    4 | 79 |     41.135295 |     6.91% | m_79_trial_4.png
    4 | 80 |     36.650177 |     7.37% | m_80_trial_4.png
    4 | 81 |     33.267497 |     7.94% | m_81_trial_4.png
    4 | 82 |     29.542312 |     8.28% | m_82_trial_4.png
    4 | 83 |     26.241009 |     8.98% | m_83_trial_4.png
    4 | 84 |     23.533112 |     9.69% | m_84_trial_4.png
    4 | 85 |     21.172223 |    10.02% | m_85_trial_4.png
    4 | 86 |     19.175579 |    10.45% | m_86_trial_4.png
    4 | 87 |     17.101775 |    11.15% | m_87_trial_4.png
    4 | 88 |     14.834049 |    11.23% | m_88_trial_4.png
    4 | 89 |     13.257083 |    11.98% | m_89_trial_4.png
    4 | 90 |     10.609592 |    12.40% | m_90_trial_4.png
    4 | 91 |      9.310220 |    13.24% | m_91_trial_4.png
    4 | 92 |      7.102229 |    13.82% | m_92_trial_4.png
    5 | 74 |     72.328522 |     4.97% | m_74_trial_5.png
    5 | 75 |     64.945726 |     5.32% | m_75_trial_5.png
    5 | 76 |     59.118132 |     5.69% | m_76_trial_5.png
    5 | 77 |     51.958911 |     6.03% | m_77_trial_5.png
    5 | 78 |     45.749517 |     6.36% | m_78_trial_5.png
    5 | 79 |     40.867510 |     6.88% | m_79_trial_5.png
